Entry,Entry.Name,Protein.names,Reviewed,ComplexPortal,OrthoDB
Q04779,RCO1_YEAST,Transcriptional regulatory protein RCO1,reviewed,CPX-1851;,5876363at2759;
Q04781,LTN1_YEAST,E3 ubiquitin-protein ligase listerin (EC 2.3.2.27) (RING domain mutant killed by rtf1 deletion protein 1) (RING-type E3 ubiquitin transferase listerin),reviewed,CPX-3265;,6108at2759;
Q05027,TAF9_YEAST,Transcription initiation factor TFIID subunit 9 (TAFII-17) (TAFII20) (TBP-associated factor 17 kDa) (TBP-associated factor 9),reviewed,CPX-1642;CPX-656;CPX-675;,341924at2759;
Q05123,ARP9_YEAST,Actin-like protein ARP9 (Chromatin structure-remodeling complex protein ARP9) (SWI/SNF complex component ARP9),reviewed,CPX-1150;CPX-1888;CPX-1889;,74201at2759;
Q05498,FCF1_YEAST,rRNA-processing protein FCF1 (FAF1-copurifying factor 1),reviewed,CPX-1604;,76105at2759;
Q06142,IMB1_YEAST,Importin subunit beta-1 (Importin-95) (Karyopherin subunit beta-1) (Karyopherin-95),reviewed,CPX-1068;,10263328at2759;
Q06151,DCPS_YEAST,m7GpppX diphosphatase (EC 3.6.1.59) (DCS-1) (Hint-related 7meGMP-directed hydrolase 1) (Protein Dcs1p) (Scavenger mRNA-decapping enzyme DcpS),reviewed,CPX-1179;CPX-1185;,10264956at2759;
Q06217,SMD2_YEAST,Small nuclear ribonucleoprotein Sm D2 (Sm-D2) (snRNP core protein D2),reviewed,CPX-1651;CPX-23;CPX-25;CPX-26;CPX-29;CPX-30;CPX-31;CPX-32;CPX-43;,437526at2759;
Q07914,TIM14_YEAST,Mitochondrial import inner membrane translocase subunit TIM14 (Presequence translocated-associated motor subunit PAM18),reviewed,CPX-539;,240298at2759;
Q08920,NCBP2_YEAST,Nuclear cap-binding protein subunit 2 (20 kDa nuclear cap-binding protein) (NCBP 20 kDa subunit) (CBP20),reviewed,CPX-1657;,201398at2759;
Q12118,SGT2_YEAST,Small glutamine-rich tetratricopeptide repeat-containing protein 2 (SGT/UBP) (Viral protein U-binding protein),reviewed,CPX-1861;,2335338at2759;
Q12267,SMC4_YEAST,Structural maintenance of chromosomes protein 4,reviewed,CPX-1869;,5575062at2759;
Q12440,APC2_YEAST,Anaphase-promoting complex subunit 2,reviewed,CPX-756;CPX-760;CPX-761;CPX-762;,5581181at2759;
Q12446,LAS17_YEAST,Proline-rich protein LAS17,reviewed,CPX-1344;,8963340at2759;
Q12460,NOP56_YEAST,Nucleolar protein 56 (Ribosome biosynthesis protein SIK1) (Suppressor of I kappa b protein 1),reviewed,CPX-1604;CPX-729;,6780543at2759;
Q61025,IFT20_MOUSE,Intraflagellar transport protein 20 homolog (mIFT20),reviewed,CPX-5028;,10254896at2759;
Q8BSP2,CNDH2_MOUSE,Condensin-2 complex subunit H2 (Kleisin-beta) (Non-SMC condensin II complex subunit H2),reviewed,CPX-986;,52840at9989;
Q8C9X6,EPC1_MOUSE,Enhancer of polycomb homolog 1,reviewed,CPX-747;CPX-990;,435275at2759;
Q94517,HDAC1_DROME,Histone deacetylase HDAC1 (HD) (EC 3.5.1.98),reviewed,CPX-2355;,1918432at2759;
Q94545,ASH2_DROME,"Set1/Ash2 histone methyltransferase complex subunit ASH2 (Absent, small, or homeotic discs protein 2)",reviewed,CPX-2284;CPX-2287;CPX-2798;,10266026at2759;
Q967F4,HMR1_CAEEL,Cadherin-related hmr-1 (Protein Hammerhead),reviewed,CPX-499;,6079678at2759;
Q9NB04,PATJ_DROME,Patj homolog,reviewed,CPX-2408;,6022242at2759;
Q9VCY3,CSN6_DROME,COP9 signalosome complex subunit 6 (Dch6) (Signalosome subunit 6),reviewed,CPX-7964;CPX-7974;,1378at2759;
Q9XZ58,CSN5_DROME,COP9 signalosome complex subunit 5 (Dch5) (Signalosome subunit 5) (EC 3.4.-.-) (JAB1 homolog),reviewed,CPX-7964;CPX-7974;,10266268at2759;
O35926,CD5R2_MOUSE,Cyclin-dependent kinase 5 activator 2 (CDK5 activator 2) (Cyclin-dependent kinase 5 regulatory subunit 2) (p39) (p39I),reviewed,CPX-3145;,7676799at2759;
O44326,HMP2_CAEEL,Beta-catenin-like protein hmp-2 (Protein humpback-2),reviewed,CPX-499;,195736at2759;
O70548,TELT_MOUSE,Telethonin (Titin cap protein),reviewed,CPX-127;,8532967at2759;
O74700,TIM9_YEAST,Mitochondrial import inner membrane translocase subunit TIM9,reviewed,CPX-1629;CPX-2268;CPX-2950;,1551503at2759;
P00452,RIR1_ECOLI,Ribonucleoside-diphosphate reductase 1 subunit alpha (EC 1.17.4.1) (Protein B1) (Ribonucleoside-diphosphate reductase 1 R1 subunit) (Ribonucleotide reductase 1),reviewed,CPX-1075;,9762933at2;
P02406,RL28_YEAST,Large ribosomal subunit protein uL15 (60S ribosomal protein L28) (L27a) (L29) (RP44) (RP62) (YL24),reviewed,CPX-1601;,61900at2759;
P03007,DPO3E_ECOLI,DNA polymerase III subunit epsilon (EC 2.7.7.7),reviewed,CPX-1925;,9804290at2;
P04385,GAL1_YEAST,Galactokinase (EC 2.7.1.6) (Galactose kinase),reviewed,CPX-1043;,187738at2759;
P06710,DPO3X_ECOLI,DNA polymerase III subunit tau (EC 2.7.7.7) (DNA polymerase III subunit gamma),reviewed,CPX-1926;,9810148at2;
P07143,CY1_YEAST,"Cytochrome c1, heme protein, mitochondrial (EC 7.1.1.8) (Complex III subunit 4) (Complex III subunit IV) (Cytochrome b-c1 complex subunit 4) (Ubiquinol-cytochrome c oxidoreductase cytochrome c1 subunit) (Cytochrome c-1)",reviewed,CPX-567;,5925at2759;
P07250,IPMK_YEAST,Inositol polyphosphate multikinase (IPMK) (EC 2.7.1.127) (EC 2.7.1.151) (Arginine metabolism regulation protein III) (GLE1 synthetic lethal protein 3) (Inositol polyphosphate kinase 2),reviewed,CPX-1152;,338650at2759;
P07258,CARA_YEAST,"Carbamoyl phosphate synthase arginine-specific small chain (CPS) (CPSase) (CPSase-arg) (EC 6.3.5.5) (Arginine-specific carbamoyl phosphate synthetase, glutamine chain) (Carbamoyl phosphate synthase A) (CPS-A) (Glutamine-dependent carbamoyl phosphate synthetase)",reviewed,CPX-579;,434at2759;
P07347,ARD1_YEAST,N-terminal acetyltransferase A complex catalytic subunit ARD1 (NatA complex subunit ARD1) (EC 2.3.1.255) (Arrest-defective protein 1),reviewed,CPX-783;,25586at2759;
P07363,CHEA_ECOLI,Chemotaxis protein CheA (EC 2.7.13.3),reviewed,CPX-1077;,9803176at2;
P07648,RECC_ECOLI,RecBCD enzyme subunit RecC (Exodeoxyribonuclease V 125 kDa polypeptide) (Exodeoxyribonuclease V gamma chain) (Exonuclease V subunit RecC) (ExoV subunit RecC) (Helicase/nuclease RecBCD subunit RecC),reviewed,CPX-2197;,9762834at2;
P0A707,IF3_ECOLI,"Translation initiation factor IF-3 [Cleaved into: Translation initiation factor IF-3, N-terminally processed; Translation initiation factor IF-3S]",reviewed,CPX-2244;,9806014at2;
P0ABB4,ATPB_ECOLI,ATP synthase subunit beta (EC 7.1.2.2) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta),reviewed,CPX-4022;,9801639at2;
P10862,RAD18_YEAST,Postreplication repair E3 ubiquitin-protein ligase RAD18 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase RAD18) (Radiation sensitivity protein 18),reviewed,CPX-2902;,9049620at2759;
P12391,ACHB3_RAT,Neuronal acetylcholine receptor subunit beta-3,reviewed,CPX-203;,5975154at2759;
P13036,FECA_ECOLI,Fe(3+) dicitrate transport protein FecA (Iron(III) dicitrate transport protein FecA),reviewed,CPX-3576;,9760494at2;
P15367,SEC11_YEAST,Signal peptidase complex catalytic subunit SEC11 (EC 3.4.21.89) (Secretory protein 11) (Signal peptidase I),reviewed,CPX-1835;,10257561at2759;
P20457,PRI2_YEAST,DNA primase large subunit (DNA polymerase alpha:primase complex p58 subunit) (DNA polymerase-primase complex p58 subunit) (Pol alpha-primase complex p58 subunit) (DNA primase 58 kDa subunit),reviewed,CPX-2091;,421393at2759;
P23394,PRP28_YEAST,Pre-mRNA-splicing ATP-dependent RNA helicase PRP28 (EC 3.6.4.13) (Helicase CA8),reviewed,CPX-25;CPX-29;,196131at2759;
P26270,PSMD7_DROME,26S proteasome non-ATPase regulatory subunit 7 (26S proteasome regulatory subunit RPN8) (26S proteasome regulatory subunit S12) (Proteasome subunit p39B) (Proteasome subunit p40) (Protein Mov34),reviewed,CPX-9070;CPX-9087;,10256771at2759;
P26449,BUB3_YEAST,Spindle assembly checkpoint protein BUB3 (Cell cycle arrest protein BUB3),reviewed,CPX-154;CPX-3212;CPX-963;,10262475at2759;
P26754,RFA2_YEAST,Replication factor A protein 2 (RF-A protein 2) (DNA-binding protein BUF1) (Replication protein A 36 kDa subunit),reviewed,CPX-21;,25571at2759;
P28073,PSB6_RAT,Proteasome subunit beta type-6 (EC 3.4.25.1) (Macropain delta chain) (Multicatalytic endopeptidase complex delta chain) (Proteasome chain 5) (Proteasome delta chain) (Proteasome subunit Y) (Proteasome subunit beta-1) (beta-1),reviewed,CPX-8965;,7854943at2759;
P31384,CCR4_YEAST,CCR4-Not complex 3'-5'-exoribonuclease subunit Ccr4 (EC 3.1.13.4) (Carbon catabolite repressor protein 4) (Cytoplasmic deadenylase) (Glucose-repressible alcohol dehydrogenase transcriptional effector),reviewed,CPX-1800;,428734at2759;
P32807,KU70_YEAST,ATP-dependent DNA helicase II subunit 1 (EC 3.6.4.12) (ATP-dependent DNA helicase II subunit Ku70) (High affinity DNA-binding factor subunit 1),reviewed,CPX-1732;,3249161at2759;
P32899,IMP3_YEAST,U3 small nucleolar ribonucleoprotein protein IMP3 (U3 snoRNP protein IMP3) (Interacting with MPP10 protein 3),reviewed,CPX-1893;,10248812at2759;
P34160,NCBP1_YEAST,Nuclear cap-binding protein complex subunit 1 (80 kDa nuclear cap-binding protein) (CBP80) (NCBP 80 kDa subunit) (Glycolysis regulation protein 3) (Protein SUT1) (Suppressor of TOP1 protein),reviewed,CPX-1657;,10252707at2759;
P34223,UBX1_YEAST,UBX domain-containing protein 1 (Suppressor of high-copy PP1 protein),reviewed,CPX-8127;,25887at2759;
P35177,SPT7_YEAST,Transcriptional activator SPT7,reviewed,CPX-656;CPX-675;,21449at2759;
P35728,MPE1_YEAST,Protein MPE1,reviewed,CPX-1053;,106784at2759;
P35820,PSC_DROME,Polycomb group protein Psc (Protein posterior sex combs),reviewed,CPX-2427;CPX-2578;,10264655at2759;
P38262,SIF2_YEAST,SIR4-interacting protein SIF2,reviewed,CPX-1342;,1367865at2759;
P38902,RPB11_YEAST,DNA-directed RNA polymerase II subunit RPB11 (RNA polymerase II subunit B11) (B13.6) (DNA-directed RNA polymerase II 13.6 kDa polypeptide),reviewed,CPX-2662;,10248581at2759;
P39081,PCF11_YEAST,Protein PCF11 (protein 1 of CF I),reviewed,CPX-1895;CPX-1896;,2129491at2759;
P39678,MBP1_YEAST,Transcription factor MBP1 (MBF subunit p120),reviewed,CPX-950;,6718656at2759;
P39743,RV167_YEAST,Reduced viability upon starvation protein 167,reviewed,CPX-1335;,2159336at2759;
P39951,CDK1_RAT,Cyclin-dependent kinase 1 (CDK1) (EC 2.7.11.22) (EC 2.7.11.23) (Cell division control protein 2 homolog) (Cell division protein kinase 1) (p34 protein kinase),reviewed,CPX-2063;CPX-2064;CPX-2072;,1732493at2759;
P40202,CCS1_YEAST,Superoxide dismutase 1 copper chaperone,reviewed,CPX-2267;CPX-2895;,666972at2759;
P40348,RFC2_YEAST,Replication factor C subunit 2 (Replication factor C2) (Activator 1 41 kDa subunit),reviewed,CPX-1731;CPX-1807;CPX-422;CPX-545;,4199794at2759;
P40454,PTPA1_YEAST,Serine/threonine-protein phosphatase 2A activator 1 (EC 5.2.1.8) (Peptidyl-prolyl cis-trans isomerase PTPA-1) (PPIase PTPA-1) (Rotamase PTPA-1) (Phosphotyrosyl phosphatase activator 1),reviewed,CPX-1863;,16120at2759;
P40969,CBF3B_YEAST,Centromere DNA-binding protein complex CBF3 subunit B (Centromere protein 3),reviewed,CPX-1898;,1747771at2759;
P41807,VATH_YEAST,V-type proton ATPase subunit H (V-ATPase subunit H) (V-ATPase 54 kDa subunit) (Vacuolar proton pump subunit H),reviewed,CPX-1192;CPX-1193;,10263554at2759;
P42945,UTP10_YEAST,U3 small nucleolar RNA-associated protein 10 (U3 snoRNA-associated protein 10) (U three protein 10) (U3 protein 10 required for transcription) (t-UTP10),reviewed,CPX-1409;,31183at2759;
P43321,SMD3_YEAST,Small nuclear ribonucleoprotein Sm D3 (Sm-D3) (snRNP core protein D3),reviewed,CPX-1651;CPX-23;CPX-25;CPX-26;CPX-29;CPX-30;CPX-31;CPX-32;CPX-43;,6425924at2759;
P46672,ARC1_YEAST,tRNA-aminoacylation cofactor ARC1 (Acyl-RNA-complex protein 1) (GU4 nucleic-binding protein 1) (G4p1 protein) (P42) (tRNA-interacting factor ARC1),reviewed,CPX-1947;,19141at2759;
P46678,TFC5_YEAST,Transcription factor TFIIIB component B'' (TFIIIB90),reviewed,CPX-1143;,272624at2759;
P47170,IML1_YEAST,Vacuolar membrane-associated protein IML1 (Increased minichromosome loss protein 1) (SEH-associated protein 1),reviewed,CPX-3231;,39497at2759;
P53076,VID30_YEAST,Vacuolar import and degradation protein 30 (Glucose-induced degradation protein 1),reviewed,CPX-301;CPX-7884;CPX-7885;,25503at2759;
P53877,IPI3_YEAST,Pre-rRNA-processing protein IPI3 (Involved in processing IST2 protein 3),reviewed,CPX-1711;,756370at2759;
P60752,MSBA_ECOLI,ATP-dependent lipid A-core flippase (EC 7.5.2.6) (Lipid A export ATP-binding/permease protein MsbA) (Lipid flippase),reviewed,CPX-2116;,9806127at2;
Q00961,NMDE3_RAT,"Glutamate receptor ionotropic, NMDA 2C (GluN2C) (Glutamate [NMDA] receptor subunit epsilon-3) (N-methyl D-aspartate receptor subtype 2C) (NMDAR2C) (NR2C)",reviewed,CPX-287;,66127at9989;
Q01852,TIM44_YEAST,Mitochondrial import inner membrane translocase subunit TIM44 (Inner membrane import site protein 45) (ISP45) (Membrane import machinery protein MIM44) (Mitochondrial protein import protein 1),reviewed,CPX-539;,10265990at2759;
Q02784,GLRX5_YEAST,"Monothiol glutaredoxin-5, mitochondrial",reviewed,CPX-6928;CPX-6930;CPX-6957;,415696at2759;
Q03406,SLD5_YEAST,DNA replication complex GINS protein SLD5,reviewed,CPX-1641;,338231at2759;
Q04370,PEX12_YEAST,Peroxisome assembly protein 12 (Peroxin-12),reviewed,CPX-1903;,107372at2759;
Q06287,NEP1_YEAST,Ribosomal RNA small subunit methyltransferase NEP1 (EC 2.1.1.260) (18S rRNA (pseudouridine(1189)-N1)-methyltransferase) (18S rRNA Psi1189 methyltransferase) (Essential for mitotic growth protein 1) (Nucleolar essential protein 1),reviewed,CPX-1604;,269804at2759;
Q07478,SUB2_YEAST,ATP-dependent RNA helicase SUB2 (EC 3.6.4.13) (Suppressor of BRR1 protein 2),reviewed,CPX-1793;,10265785at2759;
Q09429,ABCC8_RAT,ATP-binding cassette sub-family C member 8 (Sulfonylurea receptor 1),reviewed,CPX-186;,6500128at2759;
Q12158,SCC1_YEAST,Sister chromatid cohesion protein 1,reviewed,CPX-1867;,10071381at2759;
Q12184,ADRX_YEAST,"Adrenodoxin homolog, mitochondrial (Mitochondrial ferredoxin)",reviewed,CPX-392;,268593at2759;
Q12330,RUXE_YEAST,Small nuclear ribonucleoprotein E (snRNP-E) (Sm protein E) (Sm-E) (SmE),reviewed,CPX-23;CPX-25;CPX-26;CPX-29;CPX-30;CPX-31;CPX-32;CPX-43;,25620at2759;
Q12417,PRP46_YEAST,Pre-mRNA-splicing factor PRP46 (Complexed with CEF1 protein 1) (PRP nineteen-associated complex protein 50) (PRP19-associated complex protein 50) (Pre-mRNA-processing protein 46),reviewed,CPX-1651;,10256122at2759;
Q3TAS6,EMC10_MOUSE,ER membrane protein complex subunit 10 (Hematopoietic signal peptide-containing membrane domain-containing protein 1),reviewed,CPX-5882;CPX-5883;,1894652at2759;
Q62280,SSXT_MOUSE,Protein SSXT (Protein SYT) (Synovial sarcoma-associated Ss18-alpha),reviewed,CPX-4202;CPX-4204;CPX-4221;CPX-4222;CPX-4227;CPX-4228;CPX-4229;CPX-4230;,10265171at2759;
Q80YR6,CTIP_MOUSE,DNA endonuclease RBBP8 (EC 3.1.-.-) (CtBP-interacting protein) (CtIP) (Retinoblastoma-binding protein 8) (RBBP-8) (Retinoblastoma-interacting protein and myosin-like) (RIM) (Sporulation in the absence of SPO11 protein 2 homolog) (SAE2),reviewed,CPX-4722;,5801062at2759;
Q8IRW8,TRR_DROME,Histone-lysine N-methyltransferase trr (EC 2.1.1.354) (Lysine N-methyltransferase 2C) (Trithorax-related protein),reviewed,CPX-2284;,308383at2759;
Q8R1T1,CHMP7_MOUSE,Charged multivesicular body protein 7 (Chromatin-modifying protein 7),reviewed,CPX-332;CPX-333;,10250120at2759;
Q8R332,NUP58_MOUSE,Nucleoporin p58/p45 (58 kDa nucleoporin) (Nucleoporin-like protein 1),reviewed,CPX-4474;,2538017at2759;
Q920B9,SP16H_MOUSE,FACT complex subunit SPT16 (Chromatin-specific transcription elongation factor 140 kDa subunit) (FACT 140 kDa subunit) (FACTp140) (Facilitates chromatin transcription complex subunit SPT16),reviewed,CPX-433;,10251642at2759;
Q9CXZ1,NDUS4_MOUSE,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial (Complex I-18 kDa) (CI-18 kDa) (Complex I-AQDQ) (CI-AQDQ) (NADH-ubiquinone oxidoreductase 18 kDa subunit)",reviewed,CPX-266;,3089at2759;
Q9D6H2,IFT25_MOUSE,Intraflagellar transport protein 25 homolog (Heat shock protein beta-11) (Hspb11) (Placental protein 25) (PP25),reviewed,CPX-5028;,271080at2759;
Q9ER69,FL2D_MOUSE,Pre-mRNA-splicing regulator WTAP (Female-lethal(2)D homolog) (WT1-associated protein) (Wilms tumor 1-associating protein),reviewed,CPX-1609;,3366661at2759;
Q9U2D9,GYS_CAEEL,Glycogen [starch] synthase (GS) (EC 2.4.1.11),reviewed,CPX-3523;,6335297at2759;
Q9VDY1,INO80_DROME,Chromatin-remodeling ATPase INO80 (dINO80) (EC 3.6.4.-),reviewed,CPX-2693;,5847120at2759;
Q9VF27,NDUS8_DROME,NADH dehydrogenase (ubiquinone) 23 kDa subunit (EC 7.1.1.2),reviewed,CPX-8628;CPX-8638;,204405at2759;
Q9VV74,SMN_DROME,Survival motor neuron protein,reviewed,CPX-8008;CPX-8066;CPX-8067;,197400at2759;
Q9W5D4,POMT2_DROME,Protein O-mannosyl-transferase 2 (EC 2.4.1.109) (Dolichyl-phosphate-mannose--protein mannosyltransferase 2) (DmPOMT2) (dPOMT2) (Protein twisted),reviewed,CPX-2372;,5561486at2759;
Q9Z238,CCNE2_MOUSE,G1/S-specific cyclin-E2,reviewed,CPX-2082;,5590282at2759;
A1Z9X0,APKC_DROME,Atypical protein kinase C (EC 2.7.11.13),reviewed,CPX-2409;,63267at2759;
A2A5N8,LMBL1_MOUSE,Lethal(3)malignant brain tumor-like protein 1 (H-l(3)mbt) (H-l(3)mbt protein) (L(3)mbt-like) (L(3)mbt protein homolog),reviewed,CPX-470;,8188861at2759;
O15945,ARNT_DROME,Aryl hydrocarbon receptor nuclear translocator homolog (dARNT) (Hypoxia-inducible factor 1-beta) (Protein tango),reviewed,CPX-2691;,71302at2759;
O16305,CALM_CAEEL,Calmodulin (CaM),reviewed,CPX-1128;,26525at2759;
O76922,AUB_DROME,Protein aubergine (EC 3.1.26.-) (Protein sting),reviewed,CPX-3181;,445936at2759;
O97159,CHDM_DROME,Chromodomain-helicase-DNA-binding protein Mi-2 homolog (EC 3.6.4.12) (ATP-dependent helicase Mi-2) (dMi-2),reviewed,CPX-2355;,5857104at2759;
P02572,ACT2_DROME,Actin-42A (EC 3.6.4.-),reviewed,CPX-2383;,422673at2759;
P03004,DNAA_ECOLI,Chromosomal replication initiator protein DnaA (EC 3.6.4.-),reviewed,CPX-1943;CPX-1944;CPX-1945;CPX-1948;CPX-1950;CPX-1961;CPX-1962;CPX-1963;,9807019at2;
P04051,RPC1_YEAST,DNA-directed RNA polymerase III subunit RPC1 (RNA polymerase III subunit C1) (EC 2.7.7.6) (DNA-directed RNA polymerase III largest subunit) (RNA polymerase III subunit C160),reviewed,CPX-2660;,270392at2759;
P04961,PCNA_RAT,Proliferating cell nuclear antigen (PCNA) (Cyclin),reviewed,CPX-542;,534348at2759;
P08312,SYFA_ECOLI,Phenylalanine--tRNA ligase alpha subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit) (PheRS),reviewed,CPX-5222;,9800719at2;
P09959,SWI6_YEAST,Regulatory protein SWI6 (Cell-cycle box factor subunit SWI6) (MBF subunit P90) (Trans-acting activator of HO endonuclease gene),reviewed,CPX-946;CPX-950;,6718656at2759;
P0A7R5,RS10_ECOLI,Small ribosomal subunit protein uS10 (30S ribosomal protein S10) (Transcription termination/antitermination protein NusE),reviewed,CPX-3802;CPX-5674;CPX-5780;,9804464at2;
P0A800,RPOZ_ECOLI,DNA-directed RNA polymerase subunit omega (RNAP omega subunit) (EC 2.7.7.6) (RNA polymerase omega subunit) (Transcriptase subunit omega),reviewed,CPX-4881;CPX-4883;CPX-4884;CPX-4885;CPX-4886;CPX-4887;CPX-4888;CPX-5674;CPX-5780;,9796300at2;
P0A9P4,TRXB_ECOLI,Thioredoxin reductase (TRXR) (EC 1.8.1.9),reviewed,CPX-2149;,9806179at2;
P0ADY7,RL16_ECOLI,Large ribosomal subunit protein uL16 (50S ribosomal protein L16),reviewed,CPX-3807;,9802589at2;
P0AFG8,ODP1_ECOLI,Pyruvate dehydrogenase E1 component (PDH E1 component) (EC 1.2.4.1),reviewed,CPX-3943;,9759664at2;
P0CE47,EFTU1_ECOLI,Elongation factor Tu 1 (EF-Tu 1) (Bacteriophage Q beta RNA-directed RNA polymerase subunit III) (P-43),reviewed,CPX-6035;,9803139at2;
P11433,CDC24_YEAST,Cell division control protein 24 (Calcium regulatory protein),reviewed,CPX-3462;CPX-977;,1594986at2759;
P11914,MPPA_YEAST,Mitochondrial-processing peptidase subunit alpha (Alpha-MPP) (Inactive zinc metalloprotease alpha) (Matrix processing peptidase) (MPP) (Mitochondrial assembly protein 2) (Mitochondrial import function protein 2),reviewed,CPX-1630;,277191at2759;
P12385,ERF1_YEAST,Eukaryotic peptide chain release factor subunit 1 (Eukaryotic release factor 1) (eRF1) (Omnipotent suppressor protein 1),reviewed,CPX-435;,10254527at2759;
P12904,AAKG_YEAST,5'-AMP-activated protein kinase subunit gamma (AMPK gamma) (AMPK subunit gamma) (Regulatory protein CAT3) (Sucrose non-fermenting protein 4),reviewed,CPX-231;CPX-232;CPX-2800;,286637at2759;
P12945,NAT1_YEAST,"N-terminal acetyltransferase A complex subunit NAT1 (NatA complex subunit NAT1) (Amino-terminal, alpha-amino, acetyltransferase 1)",reviewed,CPX-783;,10263032at2759;
P13444,METK1_RAT,S-adenosylmethionine synthase isoform type-1 (AdoMet synthase 1) (EC 2.5.1.6) (Methionine adenosyltransferase 1) (MAT 1) (Methionine adenosyltransferase I/III) (MAT-I/III),reviewed,CPX-58;CPX-59;,5852090at2759;
P16474,BIP_YEAST,Endoplasmic reticulum chaperone BiP (EC 3.6.4.10) (78 kDa glucose-regulated protein homolog) (GRP-78) (Immunoglobulin heavy chain-binding protein homolog) (BiP),reviewed,CPX-1280;,2401965at2759;
P17555,CAP_YEAST,Adenylyl cyclase-associated protein (CAP),reviewed,CPX-695;,77251at2759;
P17883,SKI3_YEAST,Superkiller protein 3,reviewed,CPX-1040;,421075at2759;
P18506,GBRD_RAT,Gamma-aminobutyric acid receptor subunit delta (GABA(A) receptor subunit delta) (GABAAR subunit delta),reviewed,CPX-280;CPX-406;CPX-407;CPX-408;,57979at9989;
P20436,RPAB3_YEAST,"DNA-directed RNA polymerases I, II, and III subunit RPABC3 (RNA polymerases I, II, and III subunit ABC3) (ABC14.4) (ABC14.5) (DNA-directed RNA polymerases I, II, and III 14.5 kDa polypeptide)",reviewed,CPX-1664;CPX-2660;CPX-2662;,20018at2759;
P20486,CKS1_YEAST,Cyclin-dependent kinases regulatory subunit (Cell division control protein CKS1),reviewed,CPX-1699;CPX-1700;CPX-342;,440676at2759;
P21272,CEBPB_RAT,CCAAT/enhancer-binding protein beta (C/EBP beta) (C/EBP-related protein 2) (Interleukin-6-dependent-binding protein) (IL-6DBP) (Liver-enriched inhibitory protein) (LIP) (Liver-enriched transcriptional activator) (LAP) (Silencer factor B) (SF-B),reviewed,CPX-62;CPX-63;,89118at9989;
P21951,DPOE_YEAST,DNA polymerase epsilon catalytic subunit A (EC 2.7.7.7) (3'-5' exodeoxyribonuclease) (EC 3.1.11.-) (DNA polymerase II subunit A),reviewed,CPX-2110;,10060449at2759;
P23909,MUTS_ECOLI,DNA mismatch repair protein MutS,reviewed,CPX-5541;CPX-93;,9802448at2;
P25554,SGF29_YEAST,SAGA-associated factor 29 (29 kDa SAGA-associated factor) (SAGA histone acetyltransferase complex 29 kDa subunit),reviewed,CPX-608;CPX-656;CPX-675;,10265994at2759;
P29742,CLH_DROME,Clathrin heavy chain,reviewed,CPX-2792;,2113814at2759;
P31240,PDGFB_MOUSE,Platelet-derived growth factor subunit B (PDGF subunit B) (PDGF-2) (Platelet-derived growth factor B chain) (Platelet-derived growth factor beta polypeptide) (Proto-oncogene c-Sis),reviewed,CPX-2900;CPX-2901;CPX-2903;CPX-2904;CPX-2905;CPX-2906;CPX-2907;CPX-2908;,8878063at2759;
P32325,DBF4_YEAST,DDK kinase regulatory subunit DBF4 (Dumbbell forming protein 4),reviewed,CPX-867;,21380at2759;
P32912,VAM7_YEAST,Vacuolar morphogenesis protein 7,reviewed,CPX-1887;CPX-5401;,428895at2759;
P32913,VPS17_YEAST,Vacuolar protein sorting-associated protein 17 (Carboxypeptidase Y-deficient protein 21) (Vacuolar protein targeting protein 3),reviewed,CPX-1653;,9976382at2759;
P33309,DOM34_YEAST,Protein DOM34,reviewed,CPX-465;,10249111at2759;
P33339,TFC4_YEAST,Transcription factor tau 131 kDa subunit (TFIIIC 131 kDa subunit) (Transcription factor C subunit 4),reviewed,CPX-1656;,9991317at2759;
P33755,NPL4_YEAST,Nuclear protein localization protein 4 (HMG-CoA reductase degradation protein 4),reviewed,CPX-2946;CPX-3069;CPX-3265;,10251089at2759;
P35196,RER2_YEAST,"Dehydrodolichyl diphosphate synthase complex subunit RER2 (DEDOL-PP synthase) (EC 2.5.1.87) (Ditrans,polycis-polyprenyl diphosphate synthase ((2E,6E)-farnesyl diphosphate specific))",reviewed,CPX-162;,4173905at2759;
P37366,CCL1_YEAST,Cyclin CCL1,reviewed,CPX-1659;CPX-1660;,340962at2759;
P38111,ATR_YEAST,Serine/threonine-protein kinase MEC1 (EC 2.7.11.1) (ATR homolog) (DNA-damage checkpoint kinase MEC1) (Mitosis entry checkpoint protein 1),reviewed,CPX-3621;,381190at2759;
P38123,SWD3_YEAST,COMPASS component SWD3 (Complex proteins associated with SET1 protein SWD3) (Set1C component SWD3),reviewed,CPX-1039;,674604at2759;
P38629,RFC3_YEAST,Replication factor C subunit 3 (Replication factor C3) (Activator 1 40 kDa subunit),reviewed,CPX-1731;CPX-1807;CPX-422;CPX-545;,4199794at2759;
P38792,RRP4_YEAST,Exosome complex component RRP4 (Ribosomal RNA-processing protein 4),reviewed,CPX-599;CPX-603;,1650at2759;
P38811,TRA1_YEAST,Transcription-associated protein 1 (p400 kDa component of SAGA),reviewed,CPX-3155;CPX-656;CPX-675;,5570127at2759;
